"chr" "start" "end" "length" "nCG" "meanMethy1" "meanMethy2" "diff.Methy" "areaStat"
"chr19" 10366637 10367214 578 97 0.104816869627343 0.00316525552748413 0.101651614099859 467.35462899789
"chr19" 40259486 40260177 692 141 0.0459816849789438 0.00413162205436898 0.0418500629245748 466.957997199686
"chr19" 46306012 46306593 582 101 0.011632098198538 0.116342829213162 -0.104710731014624 -466.540370085713
"chr19" 4050348 4051008 661 113 0.0553367138606653 0.00247445669600455 0.0528622571646607 466.191167323111
"chr19" 16758175 16758678 504 110 0.0651982109151451 0.00320613718602333 0.0619920737291218 466.055384926848
"chr19" 47038898 47039443 546 114 0.0489082704702444 0.00288202697577625 0.0460262434944682 463.497954682624
"chr19" 38085674 38086181 508 101 0.0103649194208956 0.151150253721382 -0.140785334300486 -463.43774911041
"chr19" 4355886 4356373 488 72 0.156598069496401 0.0045872731296632 0.152010796366738 460.580415862938
"chr19" 32734539 32735321 783 101 0.144038753356245 0.00460863765505663 0.139430115701188 452.121057302384
"chr19" 25587776 25588299 524 99 0.00425162732540125 0.0786978672393847 -0.0744462399139835 -435.691884509016
"chr19" 21630630 21631180 551 72 0.00343090698346553 0.217197620190661 -0.213766713207195 -434.094890682502
"chr19" 41373347 41373739 393 84 0.0118466327954779 0.150091640723866 -0.138245007928388 -431.100503321252
"chr19" 40883395 40883866 472 104 0.0670465860853852 0.00309436425045231 0.0639522218349329 424.77563760694
"chr19" 37151567 37152011 445 100 0.0214661263539173 0.123298108461288 -0.10183198210737 -417.809611342847
"chr19" 10018600 10019341 742 126 0.0848283427626389 0.0127455663974819 0.072082776365157 414.256389495534
"chr19" 11889428 11889984 557 83 0.00978840708612039 0.13765250997452 -0.1278641028884 -413.411178035499
"chr19" 30516846 30517199 354 85 0.0517143146100792 0.00211362903170849 0.0496006855783707 395.654334726722
"chr19" 45986579 45987045 467 105 0.00585443995447338 0.060163100818724 -0.0543086608642506 -391.680936926231
"chr19" 16109560 16110684 1125 185 0.0701891171003165 0.0816647189549975 -0.011475601854681 -379.894950058115
"chr19" 56810437 56810919 483 82 0.00725208538251964 0.149662646472764 -0.142410561090244 -378.710005444877
"chr19" 53892177 53892623 447 87 0.00642644889255383 0.10389253002136 -0.0974660811288059 -373.046540756614
"chr19" 45131878 45132323 446 72 0.127467992916261 0.012108887387057 0.115359105529204 370.384986620075
"chr19" 24108252 24108771 520 85 0.0850756515638454 0.00685492121769667 0.0782207303461488 365.251683462067
"chr19" 16413992 16414335 344 70 0.111192070797206 0.0107589552916555 0.100433115505551 350.008627215208
"chr19" 56996328 56996892 565 87 0.0694119503392 0.00957569052276496 0.059836259816435 344.612313063465
"chr19" 11098525 11099060 536 68 0.00677591671929694 0.138050055773594 -0.131274139054297 -343.054529122364
"chr19" 5540615 5541123 509 106 0.0314241842945866 0.103896191547434 -0.0724720072528479 -342.840946080911
"chr19" 24454552 24455024 473 113 0.0379010656797481 0.00291584823200157 0.0349852174477465 336.664514453882
"chr19" 38919265 38919640 376 100 0.0413396790956485 0.00297684171295031 0.0383628373826982 335.054109497319
"chr19" 40576646 40577124 479 94 0.00561174815090924 0.0738606535194506 -0.0682489053685413 -334.100107632955
"chr19" 54035065 54035512 448 101 0.0425093268559875 0.00337028216581203 0.0391390446901754 328.253352807302
"chr19" 4665192 4665630 439 95 0.0515788561028887 0.150461661905181 -0.0988828058022927 -326.939666660218
"chr19" 7460157 7460635 479 84 0.00596485630147091 0.0926450058933403 -0.0866801495918694 -326.89028568743
"chr19" 43677987 43678467 481 90 0.0468841195640284 0.00214425529295516 0.0447398642710733 325.162058052734
"chr19" 10846797 10847283 487 72 0.0982891467522535 0.00230666130833672 0.0959824854439168 324.126485586801
"chr19" 41471550 41471883 334 71 0.0846817783528448 0.00369899621337351 0.0809827821394712 312.508575087096
"chr19" 7218420 7218739 320 101 0.0679093979649045 0.0225421866309875 0.045367211333917 287.447950860132
"chr19" 6898653 6899118 466 87 0.0217604815375257 0.108932141901021 -0.0871716603634949 -287.329064624014
"chr19" 46337473 46337981 509 87 0.0153637074813888 0.105947484383101 -0.0905837769017122 -285.33616845011
"chr19" 18648141 18648344 204 66 0.00776452282745971 0.0643343509318138 -0.0565698281043541 -279.433033464159
"chr19" 41818877 41819144 268 84 0.0280412616942469 0.00296497082773503 0.0250762908665118 279.222619944485
"chr19" 36713972 36714421 450 78 0.00221580022178909 0.0704473727847685 -0.0682315725629794 -277.600495740013
"chr19" 32733412 32733761 350 61 0.00456422104747689 0.134538254650111 -0.129974033602634 -274.254268059634
"chr19" 43602982 43603304 323 81 0.0125996202773826 0.0692101367736736 -0.056610516496291 -271.176443604871
"chr19" 37675471 37675978 508 80 0.0486674076280641 0.00229205947564962 0.0463753481524145 269.60186762989
"chr19" 58931865 58932352 488 75 0.00975668039845347 0.0726491832448787 -0.0628925028464252 -261.70986317929
"chr19" 30638108 30639627 1520 77 0.0326212425040407 0.000857290676975489 0.0317639518270652 261.611735819003
"chr19" 48193463 48193789 327 50 0.0096975577090823 0.227556642733347 -0.217859085024265 -259.601239997029
"chr19" 7245588 7245863 276 91 0.00608351508812281 0.0487857793130767 -0.0427022642249539 -259.374511035638
"chr19" 59446306 59446706 401 60 0.118779898295694 0.00397543347046241 0.114804464825232 258.305355841566
"chr19" 45219721 45220151 431 63 0.0853429279393791 0.00431951678903577 0.0810234111503434 257.199619705167
"chr19" 4905093 4905537 445 83 0.0528269224813321 0.00265090134236588 0.0501760211389662 256.700005688315
"chr19" 5088566 5089031 466 88 0.00998502359050272 0.0575939593082784 -0.0476089357177757 -251.325385411614
"chr19" 42190210 42190606 397 65 0.0571916377664228 0.00228332955093162 0.0549083082154912 251.093052507379
"chr19" 27987953 27988359 407 79 0.0217395037565948 0.102499548411134 -0.0807600446545389 -249.504159760489
"chr19" 23664934 23665178 245 78 0.00462586715781696 0.0395981265141951 -0.0349722593563782 -247.891688436907
"chr19" 4982218 4982901 684 69 0.0666826868778191 0.00229904081893518 0.0643836460588839 239.380482422517
"chr19" 6107584 6107951 368 77 0.0094287867777194 0.065239715828693 -0.0558109290509736 -237.300862935312
"chr19" 53588488 53588827 340 77 0.0696603037010224 0.0169754457064512 0.0526848579945712 236.649185454099
"chr19" 46124563 46125007 445 86 0.026181492400307 0.00294738119001275 0.0232341112102943 230.166138360611
"chr19" 4489178 4489594 417 70 0.0531805492028851 0.00416556863157303 0.049014980571312 229.814904088181
"chr19" 53318034 53318446 413 58 0.0687044455425753 0.00354402058412966 0.0651604249584456 229.761006049475
"chr19" 5766043 5766551 509 62 0.0651594738743734 0.0019074514395891 0.0632520224347843 228.722729235694
"chr19" 4264353 4264778 426 59 0.0156896525098028 0.129568826392086 -0.113879173882283 -227.949442509883
"chr19" 46490003 46490496 494 90 0.00332041351608525 0.0463152764040459 -0.0429948628879607 -224.33280337851
"chr19" 53517521 53517681 161 46 0.0963142267450001 0.00719646165289015 0.0891177650921099 223.209927039425
"chr19" 37686261 37686711 451 76 0.0408147900729888 0.00277181355441103 0.0380429765185778 216.419842338296
"chr19" 44870938 44871234 297 55 0.114165981174842 0.0173392578240029 0.0968267233508391 215.745882780464
"chr19" 41921742 41922196 455 64 0.00772492764027788 0.0872630777424534 -0.0795381501021755 -212.838921951478
"chr19" 6581005 6581410 406 49 0.006918285211002 0.127106088541556 -0.120187803330554 -211.167621200645
"chr19" 51103069 51103389 321 34 0.0500456354474221 0.00529326450765438 0.0447523709397677 207.270582893897
"chr19" 14205989 14206466 478 55 0.0384252184855739 0.00441981047419214 0.0340054080113818 205.726422828665
"chr19" 5745832 5746287 456 73 0.0401152244901872 0.00315774010713238 0.0369574843830548 205.288524958457
"chr19" 5704358 5704736 379 67 0.0522973061566153 0.00767506443856827 0.044622241718047 204.449635321015
"chr19" 59158092 59158456 365 62 0.00286904437025015 0.051124948262833 -0.0482559038925829 -197.199869797603
"chr19" 27300393 27300861 469 61 0.0533033597800527 0.00202750219737199 0.0512758575826808 190.94454391694
"chr19" 53589083 53589357 275 73 0.00342789694059018 0.0319847149155333 -0.0285568179749432 -190.045895934081
"chr19" 45804171 45804541 371 46 0.00862141030773313 0.186363621681317 -0.177742211373584 -189.109997021926
"chr19" 7244383 7244872 490 53 0.0910009163948502 0.00267775908598712 0.088323157308863 188.665567986008
"chr19" 46345195 46345523 329 47 0.0111496801113049 0.153009896971937 -0.141860216860633 -186.933956728736
"chr19" 47525271 47525735 465 62 0.00894620559368718 0.0772012788419585 -0.0682550732482713 -184.652707482448
"chr19" 5713466 5713953 488 57 0.00280253621969231 0.0725749247616027 -0.0697723885419104 -183.395990790107
"chr19" 8919777 8920079 303 67 0.0292759375955343 0.00285016374402512 0.0264257738515092 180.588393741791
"chr19" 4319077 4319591 515 53 0.00750143378173269 0.0994382209149074 -0.0919367871331747 -180.309686313033
"chr19" 44708412 44708854 443 59 0.0648956666239547 0.00448811813817309 0.0604075484857816 180.15009157199
"chr19" 46057771 46058247 477 42 0.124981492309931 0.00233176997392329 0.122649722336007 177.177805838023
"chr19" 55730778 55731068 291 55 0.0115789904103254 0.0731393823683058 -0.0615603919579804 -176.854002538555
"chr19" 43712423 43712986 564 44 0.106247569547936 0.00317830559848234 0.103069263949453 174.353784825187
"chr19" 47793080 47793537 458 57 0.0235125881531194 0.0034816361967373 0.0200309519563821 172.163677596582
"chr19" 44729806 44730237 432 56 0.0839916129639714 0.0114355086508651 0.0725561043131064 171.424425859803
"chr19" 36387112 36387319 208 53 0.0379371900098216 0.00489381056471173 0.0330433794451098 171.161463555818
"chr19" 5399118 5399512 395 61 0.0328841017436514 0.108236470506473 -0.0753523687628221 -171.055501049956
"chr19" 45290361 45290834 474 48 0.130873786622666 0.0160503886006975 0.114823398021968 169.962349777275
"chr19" 4150919 4151273 355 61 0.0354685836123184 0.00260567796352846 0.0328629056487899 169.783540213526
"chr19" 4241959 4242335 377 59 0.0489111874953233 0.0062565839167229 0.0426546035786004 167.718786157961
"chr19" 5738790 5739251 462 56 0.00245213879956732 0.0544613351268943 -0.0520091963273269 -162.838033325934
"chr19" 16850514 16850893 380 57 0.0028755032526679 0.044475439408712 -0.0415999361560441 -159.009353722736
"chr19" 60456191 60456671 481 47 0.00671108354231834 0.0869669638189686 -0.0802558802766502 -156.595453780577
"chr19" 40502029 40502145 117 42 0.0625408269972708 0.00550132488078993 0.0570395021164809 156.073077894876
"chr19" 37246563 37247069 507 40 0.0234960196973242 0.171795990831226 -0.148299971133902 -156.018318772174
"chr19" 6370455 6370838 384 48 0.0617043394261314 0.00591205126562689 0.0557922881605045 154.327028872831
"chr19" 24839005 24839252 248 53 0.0449724975918506 0.00496014771930512 0.0400123498725455 153.736532874055
"chr19" 44687234 44687700 467 40 0.0874069118157142 0.00182138389460788 0.0855855279211063 150.675995466145
"chr19" 36532295 36532644 350 46 0.0101817277894542 0.123805748070766 -0.113624020281311 -149.059075723267
"chr19" 46300811 46301247 437 39 0.0157468685512852 0.155681872371366 -0.139935003820081 -146.353448087421
"chr19" 59063600 59063761 162 40 0.00415649002424741 0.0706936966126222 -0.0665372065883748 -145.563751780166
"chr19" 46033228 46033470 243 44 0.00576707053362791 0.101690543000807 -0.0959234724671795 -143.716563713329
"chr19" 28941719 28942162 444 48 0.00945309814231944 0.0811744393998417 -0.0717213412575222 -141.914264508909
"chr19" 37185314 37185484 171 31 0.100501876455756 0.0054064550458413 0.0950954214099146 141.694163101026
"chr19" 37272869 37273312 444 35 0.0523276396290064 0.000582336915318296 0.0517453027136881 141.418425273274
"chr19" 25503210 25503473 264 38 0.110711269249333 0.344912030593733 -0.2342007613444 -140.425494953995
"chr19" 18558620 18559035 416 41 0.0858635460090708 0.00411709012395964 0.0817464558851112 140.244664063434
"chr19" 25165057 25165496 440 41 0.0816253713086949 0.00335975352979178 0.0782656177789032 139.463952435225
"chr19" 45191493 45191794 302 47 0.0206902061555478 0.00166799057391435 0.0190222155816334 138.868375789379
"chr19" 9960187 9960491 305 41 0.00249224851486168 0.0670385361538563 -0.0645462876389946 -138.844617956061
"chr19" 39236895 39237260 366 44 0.0216592344705598 0.00121510697083182 0.020444127499728 138.841520163021
"chr19" 38367978 38368274 297 42 0.0433536543708423 0.0121349665776857 0.0312186877931566 138.837544227623
"chr19" 5156983 5157159 177 43 0.0146392769497917 0.0647293395763016 -0.0500900626265099 -137.711818378155
"chr19" 52990904 52991272 369 34 0.123239176280757 0.00259115159010117 0.120648024690656 136.177277870628
"chr19" 46503513 46503920 408 48 0.0510686023685772 0.00231247770198117 0.048756124666596 135.742264707796
"chr19" 5657590 5658050 461 42 0.0715261752006781 0.00191907963496075 0.0696070955657173 134.837519568589
"chr19" 24663403 24663788 386 42 0.0481035280861909 0.00188901094191222 0.0462145171442786 134.338185431545
"chr19" 6297967 6298458 492 37 0.0884034168589495 0.00201419604947743 0.0863892208094721 134.227713109257
"chr19" 43969056 43969453 398 37 0.0871281121293465 0.00198637338934066 0.0851417387400058 132.993529607005
"chr19" 61254831 61255210 380 45 0.00293326497262492 0.0687525344661918 -0.0658192694935669 -132.407493825121
"chr19" 13876843 13877066 224 32 0.0553526853274712 0.00476283555356396 0.0505898497739073 131.876003075593
"chr19" 53518000 53518232 233 36 0.044032374716247 0.138709050910522 -0.0946766761942753 -131.76755412525
"chr19" 57374855 57375337 483 34 0.0956869471874889 0.00147977611264647 0.0942071710748424 129.733661219323
"chr19" 4998867 4999436 570 35 0.0436497360678165 0.000655792524433895 0.0429939435433826 129.597890394185
"chr19" 55623840 55624251 412 31 0.124400303606478 0.00295518196699583 0.121445121639482 129.494182069055
"chr19" 55611089 55611661 573 42 0.0565961044867339 0.00184636947635525 0.0547497350103787 128.113147040896
"chr19" 16362150 16362606 457 33 0.112686197732839 0.00224878923199402 0.110437408500845 127.80122739175
"chr19" 5874679 5874868 190 32 0.133700116256784 0.00592639329277704 0.127773722964007 127.52369150734
"chr19" 13977311 13977674 364 48 0.0310209186624236 0.00888262432727084 0.0221382943351527 127.034011339594
"chr19" 57367123 57367621 499 38 0.0842886538703871 0.00212725207839339 0.0821614017919938 125.756400622973
"chr19" 21755958 21756131 174 33 0.059219523867109 0.0033505314171862 0.0558689924499228 125.314629496684
"chr19" 25405367 25405622 256 34 0.102875684324989 0.00811834507973474 0.0947573392452547 124.252944377456
"chr19" 31701147 31701311 165 26 0.0446350182801153 0.010824101635873 0.0338109166442424 123.922765089821
"chr19" 3680101 3680376 276 38 0.0594468402677209 0.00216434121440513 0.0572824990533158 123.602291731339
"chr19" 3202222 3202580 359 35 0.0679044138088021 0.00214615757758455 0.0657582562312175 123.469102745086
"chr19" 29783874 29784023 150 32 0.0732132469506576 0.0020866878159337 0.0711265591347239 123.369945860271
"chr19" 30076020 30076606 587 34 0.118987069002184 0.0018440023629355 0.117143066639249 122.621913107361
"chr19" 59333959 59334066 108 27 0.0779153698595555 0.012303060574813 0.0656123092847425 122.366044957926
"chr19" 44748758 44749132 375 36 0.0167677631035014 0.12961475717669 -0.112846994073189 -121.031167663675
"chr19" 45092671 45092962 292 27 0.00383001613419956 0.156856417649683 -0.153026401515483 -120.23869194818
"chr19" 6065494 6065752 259 41 0.0557576992176526 0.00634049808405577 0.0494172011335969 120.134731403287
"chr19" 45385971 45386285 315 32 0.114342763312857 0.0025113832347913 0.111831380078066 119.640840517082
"chr19" 8230383 8230849 467 36 0.0912983821846582 0.00963378770417892 0.0816645944804793 119.598025980297
"chr19" 46630869 46631334 466 32 0.0932433690544585 0.00252354585129178 0.0907198232031668 119.151048777864
"chr19" 59862825 59862977 153 30 0.0277849823102273 0.00238060098908025 0.0254043813211471 118.982599876752
"chr19" 46501490 46501912 423 37 0.0284762573865458 0.14510681164042 -0.116630554253875 -117.432449356299
"chr19" 46135829 46136084 256 39 0.0558317058981548 0.00338740790492841 0.0524442979932264 116.770028447451
"chr19" 53393230 53393640 411 34 0.0225063372001767 0.18094182877721 -0.158435491577033 -115.289982208131
"chr19" 22442512 22442742 231 33 0.0386082140788351 0.000800790905253507 0.0378074231735816 115.234636789338
"chr19" 47907642 47907922 281 43 0.00511076728494971 0.043394241654454 -0.0382834743695043 -113.419759846569
"chr19" 56018107 56018471 365 28 0.143024060520754 0.00190469164695662 0.141119368873797 112.826708643152
"chr19" 3418710 3419142 433 39 0.111375720332055 0.0251035157562627 0.0862722045757927 112.358729573314
"chr19" 5089233 5089475 243 40 0.00190300860322298 0.0440344475150518 -0.0421314389118288 -112.23631375662
"chr19" 46385475 46386151 677 35 0.072185830203474 0.00296635335512671 0.0692194768483472 112.203177615578
"chr19" 6168285 6168354 70 30 0.0337478618941876 0.00582591277683511 0.0279219491173525 111.703630711976
"chr19" 18203987 18204278 292 37 0.0269446220727332 0.000783231588301526 0.0261613904844317 110.15217165812
"chr19" 57231777 57232333 557 34 0.120740709786259 0.00309868512670895 0.11764202465955 108.207909469948
"chr19" 44500037 44500198 162 36 0.0059638542376381 0.0499814288451921 -0.044017574607554 -108.154726385251
"chr19" 7077439 7077778 340 24 0.190966987040182 0.0027243866975565 0.188242600342626 107.549296944205
"chr19" 24829165 24829489 325 33 0.0885204783814756 0.00215962210585785 0.0863608562756177 106.419091478414
"chr19" 47829847 47830100 254 27 0.0297841256209882 0.00407023903465467 0.0257138865863335 106.048350948204
"chr19" 57461015 57461417 403 25 0.144866711041879 0.00283225153573548 0.142034459506144 105.515163850964
"chr19" 45064340 45064609 270 29 0.104927383603141 0.00274451832207561 0.102182865281066 105.424779945703
"chr19" 5807983 5808159 177 32 0.0455712429520729 0.00244679758558555 0.0431244453664873 105.287685460664
"chr19" 24239904 24240339 436 33 0.0824626899316948 0.00203656607950765 0.0804261238521871 105.061660966724
"chr19" 9731561 9731790 230 38 0.0249994390949443 0.00276027617123528 0.022239162923709 105.003816926042
"chr19" 6285451 6285736 286 30 0.133566449869381 0.0032068360495034 0.130359613819877 104.747398227569
"chr19" 10282292 10282435 144 37 0.008146177705082 0.0542894824407785 -0.0461433047356965 -103.93250845111
"chr19" 6477962 6478046 85 26 0.0920124785524042 0.023861051726005 0.0681514268263993 103.571731881963
"chr19" 4928270 4928702 433 34 0.00958898027017243 0.110694151345488 -0.101105171075315 -103.328972252461
"chr19" 5498243 5498402 160 29 0.00324095165352017 0.0616622833804466 -0.0584213317269264 -103.275061431903
"chr19" 55754264 55754695 432 30 0.0909447577494439 0.00172158654762882 0.089223171201815 103.251057036261
"chr19" 56519548 56520047 500 29 0.113157116017796 0.00206382733636494 0.111093288681431 102.27203137997
"chr19" 7254516 7254950 435 38 0.0486908614749044 0.00188135384326164 0.0468095076316428 102.198675258419
"chr19" 57376711 57377282 572 29 0.102200296379576 0.00229443759809562 0.0999058587814799 101.445776641807
"chr19" 27277937 27278296 360 27 0.137663026224403 0.00331507566851249 0.13434795055589 101.420097326811
"chr19" 53262447 53262839 393 33 0.0847082289119102 0.00205997742765019 0.08264825148426 101.356350923897
"chr19" 52994721 52994937 217 29 0.0888542501804995 0.00212142275610188 0.0867328274243976 101.126405623007
"chr19" 7073372 7073794 423 32 0.0714175888186867 0.00256196107503651 0.0688556277436502 100.735812164443
"chr19" 10079444 10079583 140 29 0.00329739424010398 0.150344390972659 -0.147046996732555 -100.036058492323
"chr19" 54124715 54124959 245 26 0.0326914761932009 0.00213320527803988 0.030558270915161 99.9763595225716
"chr19" 33620317 33620646 330 29 0.0625954378244813 0.00230924902064046 0.0602861888038408 99.5895157204363
"chr19" 6723721 6724184 464 29 0.0508976981122449 0.00082532852984045 0.0500723695824045 98.8247050456505
"chr19" 5795685 5795878 194 30 0.039843898817184 0.00228503580464011 0.0375588630125439 98.7726779570858
"chr19" 45211920 45212191 272 37 0.0383741335167584 0.00183615782174138 0.0365379756950171 97.7295090345137
"chr19" 46356430 46356807 378 31 0.0706051309560528 0.00201673867710328 0.0685883922789495 97.3444703139642
"chr19" 45017204 45017456 253 31 0.0674113798660751 0.00325517710335773 0.0641562027627173 97.0938061317469
"chr19" 9193827 9194126 300 33 0.038618680269233 0.0018068673589305 0.0368118129103024 96.9397723966405
"chr19" 44292612 44292908 297 28 0.0875232571047796 0.00155539120728385 0.0859678658974957 96.5739051317381
"chr19" 53215028 53215302 275 28 0.0810796159649097 0.00190106849627161 0.079178547468638 95.9749044528975
"chr19" 18269593 18269775 183 32 0.0320768942469188 0.00727737831177007 0.0247995159351487 95.9471662449009
"chr19" 38369379 38369719 341 33 0.0469007517361674 0.010940472766386 0.0359602789697814 95.8951866489836
"chr19" 21808062 21808313 252 23 0.126751332125626 0.00242565153717781 0.124325680588448 95.8452750588678
"chr19" 24088768 24088999 232 34 0.0445230083646775 0.00350901720507607 0.0410139911596014 95.7611402508033
"chr19" 28805989 28806494 506 32 0.089180697428669 0.00174546809873269 0.0874352293299363 95.5450803545682
"chr19" 13747901 13748126 226 29 0.0300821438529918 0.00157819920816946 0.0285039446448223 95.5013117445758
"chr19" 59310733 59310809 77 26 0.0393108673385094 0.00418476173706043 0.035126105601449 95.0055990119492
"chr19" 42256793 42256984 192 30 0.0728590579281201 0.0027522197201412 0.0701068382079789 93.9682017990424
"chr19" 8870196 8870418 223 39 0.0357479982938292 0.00433144014915924 0.0314165581446699 93.1229012817872
"chr19" 47380119 47380478 360 25 0.0580635900459586 0.000574552339559128 0.0574890377063995 93.0677082298966
"chr19" 53265260 53265769 510 30 0.0830567576173166 0.00329064320107237 0.0797661144162443 92.2441542755219
"chr19" 8001884 8002086 203 32 0.0180068147438454 0.000556505507919764 0.0174503092359256 91.4278508429008
"chr19" 25132358 25132965 608 22 0.213792143595598 0.00248873678102275 0.211303406814575 91.1044883359727
"chr19" 55547682 55548091 410 28 0.103683189419797 0.00159658929242427 0.102086600127372 90.8472520044297
"chr19" 57458511 57458779 269 28 0.0805849998488803 0.00207166307783374 0.0785133367710465 89.7530609402684
"chr19" 44145441 44145678 238 22 0.15108113312508 0.00270122855006791 0.148379904575012 89.7478754738947
"chr19" 44224113 44224390 278 25 0.104669427367473 0.0036079289721654 0.101061498395308 89.5343563582059
"chr19" 5791624 5791780 157 30 0.043059381980327 0.00300901983248786 0.0400503621478391 88.9313775997718
"chr19" 10181577 10181775 199 30 0.0119525509746393 0.0865338374208011 -0.0745812864461619 -88.7298048039981
"chr19" 5337142 5337317 176 30 0.0645188867306872 0.00255319885043076 0.0619656878802565 88.4633773579014
"chr19" 5807740 5807907 168 29 0.0501300655655394 0.00271950053532826 0.0474105650302112 87.8266418081717
"chr19" 5497986 5498186 201 31 0.00330637229018771 0.0390382159852603 -0.0357318436950726 -87.6262302495867
"chr19" 30007508 30007633 126 32 0.03014303801311 0.00422621275643954 0.0259168252566704 87.2744648569108
"chr19" 6356170 6356338 169 26 0.0037568294338395 0.102278707205027 -0.0985218777711875 -86.5603879822551
"chr19" 6919117 6919275 159 24 0.00406388713401575 0.0510155091437024 -0.0469516220096867 -85.7487585848192
"chr19" 55852016 55852287 272 24 0.00952001549838296 0.181485450157462 -0.171965434659079 -85.4389520050447
"chr19" 13877527 13877692 166 22 0.00757704314929669 0.071848988900434 -0.0642719457511374 -85.1369471657528
"chr19" 46447445 46447748 304 26 0.0754516122321585 0.00208249932473421 0.0733691129074243 84.6784781842832
"chr19" 21755710 21755798 89 25 0.0440337613024058 0.00338672955399386 0.0406470317484119 84.5039419984601
"chr19" 5923213 5923477 265 31 0.0867872982827585 0.0154723817209812 0.0713149165617773 84.4744676854234
"chr19" 53068446 53069368 923 23 0.123468274677387 0.00279162792999955 0.120676646747387 84.2137794136458
"chr19" 22955874 22956216 343 28 0.0674460656106717 0.00242660956976254 0.0650194560409092 84.0610319958439
"chr19" 56493115 56493351 237 18 0.0349699927246437 0.000790937087026689 0.034179055637617 83.8324918836708
"chr19" 47496215 47496534 320 23 0.148075619584159 0.00679140826239266 0.141284211321766 82.8749906145466
"chr19" 7394302 7394429 128 32 0.00479589470872633 0.0448711232458096 -0.0400752285370833 -82.6154315755289
"chr19" 53610170 53610494 325 26 0.0862159675932238 0.00288747151855321 0.0833284960746706 82.3541287544163
"chr19" 29937881 29938133 253 27 0.070435515797876 0.00156822965311615 0.0688672861447599 82.0367709160934
"chr19" 47271432 47271702 271 29 0.0742393246500337 0.00339405890665954 0.0708452657433741 82.0321743491601
"chr19" 27375059 27375454 396 23 0.126876252620544 0.00190876566915766 0.124967486951387 82.0080148884475
"chr19" 47864761 47865073 313 29 0.0727195635076276 0.00251830737720412 0.0702012561304235 81.9722574899504
"chr19" 38825712 38825834 123 33 0.00259193442651527 0.0207037567133221 -0.0181118222868068 -81.7192293179435
"chr19" 3865185 3865501 317 27 0.0523996189210953 0.00248599732094924 0.0499136216001461 81.5861327533268
"chr19" 26945654 26946073 420 23 0.00224417327662845 0.192858480037693 -0.190614306761065 -80.7130852814313
"chr19" 16413598 16413840 243 26 0.00301460401670644 0.0656327443490219 -0.0626181403323155 -80.6366518540062
"chr19" 56711577 56711662 86 23 0.0322366699378665 0.00357004093080256 0.0286666290070639 80.4896220440255
"chr19" 5524470 5524651 182 20 0.00443817906717142 0.105753254238064 -0.101315075170893 -80.405280440932
"chr19" 39621044 39621165 122 22 0.0297828333537049 0.000610223943436699 0.0291726094102682 80.0056061099058
